id,ukg_location_id,motive_group_id,motive_group_name,consolidated_site,region,super_region,sage_department_id,timezone
157,UNMCH,162868,WI - Cesspool,WI - Cesspool,North,,,America/Chicago
158,UNMCH,168608,WI - Cesspool - Trailers,WI - Cesspool,North,,,America/Chicago
144,NASH,123038,TN - FusionSite (Woodycrest),TN - Nashville,Southeast,,,America/Chicago
145,GAL,155533,TN - Maxwell Septic,TN - Maxwell,Southeast,,,America/Chicago
205,MAX,155533,TN - Maxwell Septic,TN - Maxwell,Southeast,East,1032,America/Chicago
206,NASH1,123038,TN - FusionSite (Woodycrest),TN - Nashville,Southeast,West,1013,America/Chicago
207,FORZ,117030,LUBBOCK,TX - Forza,West,West,1030,America/Chicago
208,FORZ,117031,KERMIT,TX - Forza,West,West,1030,America/Chicago
210,FORZ,117033,SAN ANGELO- TOPS SEPTIC,TX - Forza,West,East,1030,America/Chicago
211,FORZ,117035,SEMINOLE,TX - Forza,West,East,1030,America/Chicago
212,FORZ,117773,Las Cruces,TX - Forza,West,East,1030,America/Chicago
213,FORZ,119588,Lubbock HD,TX - Forza,West,East,1030,America/Chicago
214,FORZ,119589,Kermit HD,TX - Forza,West,East,1030,America/Chicago
215,FORZ,119590,Midland HD,TX - Forza,West,East,1030,America/Chicago
216,FORZ,146102,TX - Forza,TX - Forza,West,East,1030,America/Chicago
217,JBAR,150933,TX - J Bar,TX - J Bar,West,East,1031,America/Chicago
218,ELPA,181840,TX - Sarabia's,TX - Sarabia's,West,West,1037,America/Denver
219,ELPA,181843,Sarabia's Trailers,TX - Sarabia's,West,West,1037,America/Denver
220,CHIP,162868,WI - Cesspool,WI - Cesspool,North,West,1034,America/Chicago
221,CHIP,168608,WI - Cesspool - Trailers,WI - Cesspool,North,West,1034,America/Chicago
83,FAYE,55543,AR - Fay,AR - Fay,Gulf South,West,1002,America/Chicago
84,LLROCK,55542,AR - Little Rock,AR - Little Rock,Gulf South,West,1001,America/Chicago
168,TUC,161452,AZ - Stamback Septic,AZ - Stamback,West,East,1033,America/Phoenix
167,TUC,162372,AZ - Stamback Rolloffs,AZ - Stamback,West,East,1033,America/Phoenix
169,TUC,162375,AZ - Stamback Toilets,AZ - Stamback,West,East,1033,America/Phoenix
166,TUC,162377,AZ - Stamback Admin,AZ - Stamback,West,West,1033,America/Phoenix
165,TUC,162497,AZ - Stamback - VIP Trailers,AZ - Stamback,West,West,1033,America/Phoenix
90,FTPRC,60498,FL - Freedom,FL - Freedom,South Central,East,1006,America/New_York
91,GAINES,134638,FL - Gainsville Porta Serve,FL - Gainesville Porta Serve,South Central,West,1026,America/New_York
93,FTMY,101637,FL - Premier & Prestigious,FL - West Florida,South Central,West,1018,America/New_York
92,NAP,110782,FL - JW Craft,FL - West Florida,South Central,West,1018,America/New_York
94,CLTN,102953,GA - GCI,GA - GCI,South Central,West,1019,America/New_York
95,AGSTA,53751,GA -PSI Augusta,GA/SC - PSI,Southeast,West,1007,America/New_York
135,COLSC,54012,SC - PSI Columbia,GA/SC - PSI,Southeast,West,1007,America/New_York
96,CR,138855,IA - Cedar Rapids,IA - Cedar Rapids,North,East,1029,America/Chicago
101,SHEPD,54016,KY - Bullitt Sep. Service,KY - Bullitt Sep. Service,North,East,1008,America/New_York
102,LEX2,100868,KY - Lex,KY - Lex,North,West,1017,America/New_York
106,LOUIS1,54013,KY - moon portables,KY - Moon,North,West,1005,America/New_York
104,LOUIS1,54014,KY - Moon leasing,KY - Moon,North,West,1005,America/New_York
105,LOUIS1,54015,KY - Moon Minis,KY - Moon,North,East,1005,America/New_York
103,LOUIS1,171121,KY - Moon,KY - Moon,North,West,1005,America/New_York
117,TUP,151195,MS - American Johnny,MS - American Johnny,Gulf South,East,1028,America/Chicago
118,JACKS,119580,MS - Gotta Go,MS - Gotta Go,Gulf South,East,1021,America/Chicago
121,CLT,55550,NC - Denver,NC - ASC,Southeast,West,1012,America/New_York
119,CLT,55552,NC -  ASC,NC - ASC,Southeast,East,1012,America/New_York
123,GSO,55551,NC - Greensboro,NC - ASC,Southeast,East,1012,America/New_York
120,SAL,55551,NC - ASC - Salisbury,NC - ASC,Southeast,West,1012,America/New_York
125,ASHE,53753,NC - Griffin Waste Pump Trucks,NC - Griffin,Southeast,West,1003,America/New_York
124,ASHE,68660,NC - Griffin Hook trucks,NC - Griffin,Southeast,West,1003,America/New_York
128,TOL,76130,OH - C&L and Safeway,OH - C&L and Safeway,North,West,1015,America/New_York
132,PHILLY,50046,PA - Port A Bowl,PA - Port A Bowl,North,West,1011,America/New_York
131,PHILLY,99738,PA - Malvern,PA - Port A Bowl,North,West,1011,America/New_York
134,GSC,137745,SC - Littlejohn,SC - Littlejohn,Southeast,West,1027,America/New_York
138,CHATT,123039,TN - Chattanooga -Bolles,TN - Chattanooga - Bolles,South Central,East,1024,America/New_York
139,CROSS,55431,TN - ETP,TN - ETP,Southeast,East,1004,America/Chicago
140,KNOX,55431,TN - ETP,TN - ETP,Southeast,East,1004,America/New_York
146,GREEN,60569,TN - MC Septic,TN - MC Septic,Southeast,East,1009,America/New_York
147,MEM,63332,TN - Memphis - Safety Quip,TN - Memphis - Safety Quip,Gulf South,East,1014,America/Chicago
141,CLARK,55429,TN - FusionSite (Clark),TN - Nashville,Southeast,East,1013,America/Chicago
143,NASH,55428,TN - FusionSite (Nashville),TN - Nashville,Southeast,East,1013,America/Chicago
142,NASH,55429,TN - FusionSite (Clark),TN - Nashville,Southeast,East,1013,America/Chicago
148,HAR,119083,TX - ACP,TX - ACP,West,East,1023,America/Chicago
149,LAR,119083,TX - ACP,TX - ACP,West,East,1023,America/Chicago
150,SAT,119083,TX - ACP,TX - ACP,West,East,1023,America/Chicago
155,WYTHE,130474,VA - R&R,VA - R&R,Southeast,East,1025,America/New_York
156,MAD,110783,WI - Buckys,WI - Buckys,North,West,1020,America/Chicago
159,LODI,120444,WI - Stranders,WI - Stranders,North,East,1022,America/Chicago
222,SWFL,101637,FL - Premier & Prestigious,FL - West Florida,South Central,West,1018,America/New_York
223,SWFL,110782,FL - JW Craft,FL - West Florida,South Central,West,1018,America/New_York
197,ESOL,171501,LA - Event Solutions - LAF (ES),LA - Event Solutions,Gulf South,East,1035,America/Chicago
209,FORZ,117032,MIDLAND,TX - Forza,West,East,1030,America/Chicago
